POISSON EQUATION FINITE-DIFFERENCE METHOD

  I  J    X(I)        Y(J)         W(I,J)          True         Error 
 10  4  4.00000000  1.33333333    6.58292961    7.49629630    0.91336669
 10  5  4.00000000  1.66666667    6.26093938    7.18518519    0.92424581
 10  6  4.00000000  2.00000000    5.92258681    6.80000000    0.87741319
 10  7  4.00000000  2.33333333    5.55468837    6.34074074    0.78605237
 10  8  4.00000000  2.66666667    5.14460656    5.80740741    0.66280084
 10  9  4.00000000  3.00000000    4.67996581    5.20000000    0.52003419
 10 10  4.00000000  3.33333333    4.14832055    4.51851852    0.37019797
 10 11  4.00000000  3.66666667    3.53678979    3.76296296    0.22617317
 10 12  4.00000000  4.00000000    2.83168364    2.93333333    0.10164969
 10 13  4.00000000  4.33333333    2.01817251    2.02962963    0.01145712
 10 14  4.00000000  4.66666667    1.08008990    1.05185185    0.02823805
 11  1  4.40000000  0.33333333    6.66161189    6.98548148    0.32386960
 11  2  4.40000000  0.66666667    6.32861412    6.87170370    0.54308958
 11  3  4.40000000  1.00000000    6.02522220    6.69866667    0.67344447
 11  4  4.40000000  1.33333333    5.73681237    6.46637037    0.72955800
 11  5  4.40000000  1.66666667    5.44994426    6.17481481    0.72487055
 11  6  4.40000000  2.00000000    5.15218996    5.82400000    0.67181004
 11  7  4.40000000  2.33333333    4.83186741    5.41392593    0.58205851
 11  8  4.40000000  2.66666667    4.47771946    4.94459259    0.46687314
 11  9  4.40000000  3.00000000    4.07854564    4.41600000    0.33745436
 11 10  4.40000000  3.33333333    3.62277889    3.82814815    0.20536926
 11 11  4.40000000  3.66666667    3.09799661    3.18103704    0.08304043
 11 12  4.40000000  4.00000000    2.49036875    2.47466667    0.01570208
 11 13  4.40000000  4.33333333    1.78408474    1.70903704    0.07504770
 11 14  4.40000000  4.66666667    0.96088836    0.88414815    0.07674021
 12  1  4.80000000  0.33333333    5.43225420    5.68711111    0.25485691
 12  2  4.80000000  0.66666667    5.14928106    5.56977778    0.42049672
 12  3  4.80000000  1.00000000    4.89559062    5.40800000    0.51240938
 12  4  4.80000000  1.33333333    4.65770580    5.20177778    0.54407197
 12  5  4.80000000  1.66666667    4.42385606    4.95111111    0.52725506
 12  6  4.80000000  2.00000000    4.18352214    4.65600000    0.47247786
 12  7  4.80000000  2.33333333    3.92698581    4.31644444    0.38945864
 12  8  4.80000000  2.66666667    3.64490035    3.93244444    0.28754409
 12  9  4.80000000  3.00000000    3.32785008    3.50400000    0.17614992
 12 10  4.80000000  3.33333333    2.96585038    3.03111111    0.06526074
 12 11  4.80000000  3.66666667    2.54773182    2.51377778    0.03395404
 12 12  4.80000000  4.00000000    2.06034948    1.95200000    0.10834948
 12 13  4.80000000  4.33333333    1.48758153    1.34577778    0.14180376
 12 14  4.80000000  4.66666667    0.80919404    0.69511111    0.11408293
 13  1  5.20000000  0.33333333    3.90765467    4.09007407    0.18241940
 13  2  5.20000000  0.66666667    3.69701165    3.99051852    0.29350687
